Comment,Number
Vous pensiez tout de même pas que j’allais complètement arrêter les parodies ? J’ai toujours un tour dans ma botte.,1
N’hésitez pas à me dire si vous voulez voir un film en particulier d’ailleurs !,5
"Et si vous n’avez pas encore essayer NordVPN, c’est par ici : https://nordvpn.com/math (satisfait ou remboursé pendant les 30 premiers jours).",3
*ahhhhhhhhh abonner vous sa fait du biennnnn* 😂😂je suis mort,1
Tu sera sur le banc de reserve 🤣🤣🤣,3
Astérix et Obelix mission cleopatre,4
"C'est juste du pur Woke, les hommes qui n'ont aucun rôle sérieux à jouer, tout est auto centré, et le but est juste de faire passer un message ridicule aux jeunes",1
J’ai adoré !,5
Riley a aucun de ses parents qui a les mêmes cheveux qu'elle,2
11:40,3
-Je prend soin de mes amies,4
-eeeh ben sacré spécimen,5
😂😂😂 J'ai éclaté,1
T’es le meilleur math 😍,5
Ils vont faire un vise versa 5 j'ai vu la bande annonce,1
"Pour Dragon, c'est mes films préférés et Astrid a toujours été un exemple de femmes fortes pour moi. Je n'ai jamais pensé au fait que Harold pouvait dépasser Astrid étant donné qu'ils excellent dans des domaines différents.",5
"Astrid est très forte et a confiance en elle. Là où Harold est plus émotif et ingénieux. Du coup, Harold la dépasse jamais vraiment (surtout si on regarde les suites : séries et films). C'est deux personnages qui se complètent.",5
"Les films suivants, Astrid est toujours montrée comme le personnage au côté d'Harold le plus compétent et quand elle l'est moins que lui c'est parce que ça touche à un domaine qui n'est pas le sien. De même, dans certains épisodes des séries Astrid est plus compétente que Harold vu que l'on est dans ces domaines de compétences.",4
D'autant plus que l'intérêt de la relation entre Harold et Astrid c'est que quand Harold doute c'est Astrid qui est là pour lui redonner confiance en lui. Et Harold permet à Astrid de remettre en question les valeurs Viking et de se montrer plus douce et moins violente.,3
"Il était vrmt pas ouf le film, je préfère ta vidéo",2
Tu pourrais pas faire une vidéo sur Joker 2 stp,1
"""C'est ça fou moi le camp Tahiti Bob "" 😂😂😂",5
Il faut finir Twilight😅,3
La seule personne ici avec un trouble de la personnalité c'est math quand tu te rends compte que toute les personnalité qu'il joue sont une seule et même personne 😂😂😂😂😂 mais sinon je t'adore ❤,3
La miniature on dirait une photo des développeurs de bioware ou ubisoft,3
Se film était vraiment pas terribles ses juste un re make du 1,2
Si le film était sur moi il y aurait racisme,2
"Super Vidéo, c'est mon film d'animation préféré de 2024, avec les émotions de toutes émotions et Envie est ma préférée car trop mignonne. 🤩",5
Toujours Nord vpn,5
"J'ai vraiment kiffé l'épisode, j'ai super bien rigolé !",5
Continue !,5
"Apparemment le film ne t'a pas trop plu, pareil pour moi je comprends complètement, sinon excellente vidéo !!",4
Super drôle gomme d´abitude 😂,5
La ref a rael,3
Le coup de la terre plate et du prophète m’ont tuée 😭,5
Comment vous faites pour chi3r dans votre froque ?,5
Vous ne mettez pas de slip?!,1
Merci math c’était encore une belle tranche de rire. Cependant ça aurait été sympa de dire un peu plus de positif car je trouve ca genial que disney ose aborder les questions d’anxiété et de crise d’angoisse qui touche de plus en plus de personnes a cause du monde actuel. Autant que les enfants ado comprenne ce que c’est. Joie est assez insupportable mais heureusement que c’est elle qui gèrent sinon je donne pas cher de nos peaux. Merci aussi d’avoir souligné l’inutilité du pere et l’émotion principale de le mere. Jtrouve ca un peu trop caricatural d’ailleurs d’avoir mis l’émotion principale du pere par la colère alors que clairement il a 0 autorité mais juste pcq c’est un mec… Mais sinon tu restes un monstre bg merci pour ton super travail !,5
Ma théorie c'est qu'elle est en réalité schizophréne 😂,2
Ça te dirais pas un petit Beetlejuice pour Halloween?,3
T trop droles fait coco stp,2
J'ai adoré ton énergie !,5
Tellement rigolé que j'ai fait dans ma culotte 😂,5
Kuzco,4
Pitié Terrifier 3,5
7:55 bas les autres c'est vrai il y a plus de emotions mais envie est admiration,3
Deadpool x Wolverine,5
Les autres dragons ce serait génial,5
Yoo math sa te dirait de faire un épisode sur miss peregrine,3
vice versa l'un des mlrs Pixar ??? j'espère que tu mets pas cars en dessous !,3
Deadpool et Wolverine stp❤,5
Deadpool et Wolverine s’il te plaît,5
Moi je veux five Nights at Freddy's,5
dune 2,5
le peuple a besoin d'un episode halloween et de la suite du Hobbit je ten supplie !!,5
imaginez un film vice versa dans la tête de Hitler 🤣,5
Pisser les premières règles par le nez xD j’adore,5
Est que ta vue que le papa à la maman 🤨🤨🤨🤨,5
+1,5
joie m'a tendue tout le long des films,3
Prochaine épisode tu peux faire sur beetlejuice stp,3
En vrai uncharted y’a moyen d’en faire un truc bien je pense tres bonne vidéo g eu besoin d’air pour le « tu veux pisser tes premieres regles par le nez? »😂,3
Déconstruction de l'homme : check,1
Woke DEI: check,1
Eduquer les enfants au drama et les rendre malade mentalement à se faire des films et des croyances dystopique: Check,5
Qu'est-ce que j'ai ratté d'autre en ne voyant pas cette bouse ?,1
Arielle Domsbale j'étais pas prêt 🤣,1
La nonne 2 vu qu'il a fait le premier !,5
"Super drôle, comme d’habitude !",5
Tu peux faire terrifier 2,5
Beetlejuice !!,5
Chasseurs de trolls c'est un Banger tu auras plein de trucs à dire dessus,1
6:23 KENDRIIIICK !,5
S’il te plaît fais ton aide tu🎉,5
C’estTwilight chapitre cinq,5
chapitre cinq,5
J'adore tes vidéos 😁❤️ je m'abonne direct🫡. Tu pensse pouvoir faire le film Sonic 2 stp 🥺🥰🙏🏻 ?,5
😂😂😂,5
"Au cas ou si tu as trop d'idée, le film Troie.",3
Deadpool et Wolverine serait pépite,5
Il devrait faire un sketch que sur colère,3
Equalizer stp,5
"La pub de merde qui arrive d’on ne sait où pour VPN ... juste pour info, il va y avoir le 3 aussi  ! Hé  oui ! On est beaucoup à aimer les suites ! Il en faut pour tous les goûts  ! ... Comme ce genre de  vidéo qui clairement,  pour moi, ne valent vraiment rien et sont nulles ! Soyons tolérants dans le respect n'est-ce pas !",3
Tu peux faire Monte cristo?,1
"Le film"" Professeur Layton, et la diva éternelle"" .",4
Brice de Nice,4
Tu pourrai faire le film fnaf (five nights at freddy's) sa serait génial,5
Toujours autant incroyable. Gg mon gars❤,5
Faudrait faire un film Pixar avec un papa alpha qui s'occupe de sa mife et pas tjs des soumis simplets,2
Coraline,3
👍👍👍👍👏👏👏👏👏,5
En fait un film d'horreur pour halloween serait parfait😂😂,1
"Deadpool et Wolverine! Ce film est une telle master classe, ça va être un défi de le souiller 😏",5
J'viens de retrouver Zak et Crysta : https://www.youtube.com/watch?v=1Ikokl1nWpc,5
Je suis d'accord avec cette analyse 😂,4
J'aimerai bien un jour une analyse de Dark Cristal mais en meme temps j'ai peur 😂,3
Twilight on attend trop,3
😂la ref au jésus cosmique,5
Spiderman across the spider verse stp stp stp stp stp stp stp stp stp stp stp stp stp,5
Deadpool and volverine stp,4
Pas tristesse,5
Tu dois faire Deadpool et Wolverine !,5
Je te verrai bien en juge dredd mais celui avec stalon😁 par contre super vidéo,4
Vraiment drôle cet épisode,5
Ça serait incroyable de faire la saga Descendants y’a pleins de trucs à faire 🤣🤣,5
super vidéo merci!,5
AM I A JOKE FOR YOU ?,1
Matrix 2 pourrait êtres sympa et math en trinity serait une dinguerie 😂,3
kendrick lamar a 6:24 !,1
Salut Terminator 2 stp,5
Tu peux faire la dernière partie de twilling,3
Salut Terminator 2 stp,5
Toy Story 2 stp,4
Tu peux faire les trolls les 3 film ?,3
J'adore 😂 et la perruque de Colère est geniale 🤣. C'est vrai que j'aurais aussi voulu voir d'autres émotions (on a eu un aperçu de Nostalgie je crois) mais je pense que ces émotions précises ont été choisies car elles sont assez liées avec le début de l'adolescence...donc au final je trouve que ça colle.,5
"PS : je viens de revoir le dessin animé Coraline (du studio Laika), ça serait intéressant de voir ton avis dessus 😁 et comme c'est un dessin animé un peu horrifique je trouve que ça colle avec le moment 👻",3
Math fait la critique de Beetlejuice 1 je suis sur que tu va nous faire mourir de rire et que ça pourrais être cool,4
Je suis la seule j’ai chialé mais genre sangloter vraiment quand anxiété pete un cable et que après ils font un câlin collectif les émotions la 😂😅 c’est un dessins animé ou quoi la no mais !,2
En réalité Riley c'est Lumen dans la 5eme saison de Dexter ! Alors ta théorie qu'elle puisse être une tueuse en série est plus que probable !😅 (Ps en plus elles sont toutes les 2 d'origine du Minnesota),5
Le magasin des suicides,5
"evil dead rise, jackpot, sans un bruit jour 1 par pitié !",5
Deadpool and wolverine serait LE meilleur épisode,5
"Franchement, tu ne t’arrêtes pas d’être créatif, drôle, amusant, réaliste,… j’adore !!",5
Je me retiens de regarder trop vite tes analyses de films tellement je les adore et que je déteste attendre pour la suivante !!,5
Merde encore 8 jours à attendre pour la suivante…,1
K-Monnay Trop Bling bling,2
"10:10 jusqu'à 10:20 j'ai explosé de rire surtout le peut tu m'aider à trouver mon fusil, c'est un calibre 12",1
13:26 ''t reçu bitch'' on dirait c son mec qui lui envoie un texto wesh,1
"13:11 : Etant papa de deux enfants, je tiens à te dire que cette punchline m'a tué !🤣",1
La ref a rael... PÉPITE ✨,5
"Jurassic world 3, y a grave des trucs à souiller",1
"C’est comme Shrek 5, j’ai peur, très peur",5
Ça faisait longtemps ! 😁 Toujours aussi drôle !,5
Fait pearl harbor ça va être bien,4
Toujours aussi mignon !,5
1:27 qu'est-ce que tu tchip bieeeen 😆,1
Salut math,5
Ça fait vraiment plaisir d’avoir vu encore l’éventail de tes talents. Ça m’avait manqué,5
Un film en tête qui pourrait te plaire et plaire à d’autres : wedding nightmare,5
Si tu ne le connais pas visionne le et je t’assure qu’il y a des choses très chouette à réaliser.,3
Continue comme ça car quand on est à l’hôpital c’est pas drôle tous les jours et visionner tes vidéos ça donne le sourire et permet de s’échapper un instant,5
6:23 b*tch sit down😂😂,1
Je regarde toutes vidéos depuis 8 ans. Je t’aime mec tu as saisis toutes les dimensions de l’humour,5
"En vrai stv encore faire un Disney je te conseil ""Wall-e"", c'est ptet mm l'un des plus beau Disney jamais créer et en vrai bah banner si tu le fait, snn magnifique et drole de video 👍👌",5
"Merci math pour ce mmt, meilleur youtubeur, tu merites plus de visibilité et de mérite ❤",5
Tu pourrais faire un autre l'âge de glace sa peu être cool ou alors un film d'horreur 🙂 sais génial ce que tu fait continue les MSF,5
ou Le Dernier Samurai,5
tu pourrais faire Ninjago Movie,5
Je me demande toujours se que ça donnerait math faisant Greatest Showman 😂😂,5
"8:51 "" Rien à foutre "" 😂😂😂😂😂",5
TENET stp,5
"Je crois que ton publique, ce n'est  plus que des gosses  😅",1
moi j'aime bien mune le gardien de la lune c'est un de me fikm preferé sinon vraiment continu ce que tu fais tu nous faire rire tout les jour ( enfin toute les deux semaines ),4
9:43 😂😂😂 le montage avec le son zoo de Kaaris 😂😂😂 ça m'a achevé,5
S’il te plaît fais spider man across the spider verse ou Toy Story 4,3
"2:42 Bah voyons Matt elle a 13 ans Riley dans le 2e film, c'est complètement l'âge où tu dois apprendre à t'aimer",5
